gamma,q,qhat,I,s_cond,s_prior,s
3.4,0.8701426612405514,6.700758461038563,1.9708113120701658,0.2584387018830875,0.17223178882675644,0.4306704907098439
3.5,0.8759741726766126,7.062836763721566,2.0179533610633045,0.2526243519795579,0.1730416110746773,0.4256659630542352
3.6,0.8814472386687208,7.435062911893544,2.0652952533037623,0.24703810380537394,0.17374304660106704,0.420781150406441
3.7,0.8865885992503199,7.81745568445132,2.112825860662519,0.2416684681808538,0.17434388618649677,0.41601235436735057
3.8,0.8914227460925616,8.210032159110051,2.1605347787131715,0.23650457756274118,0.17485139417016332,0.4113559717329045
3.9,0.8959721225525419,8.612807881748786,2.2084122773714836,0.23153615932101604,0.17527233856774843,0.4068084978887645
4.0,0.9002573063800636,9.025797017992346,2.2564492544980865,0.22675350821232815,0.17561302080408978,0.4023665290164179
4.1,0.9042971762799517,9.449012488898193,2.3046371924141935,0.22214745857857895,0.17587930472218916,0.39802676330076814
4.2,0.9081090635347171,9.882466092434237,2.3529681172462467,0.21770935668142982,0.17607664462273956,0.3937860013041694
4.3,0.9117088898699919,10.32616861226859,2.4014345609926955,0.21343103348681478,0.17621011216278568,0.38964114564960045
4.4,0.9151112927019143,10.780129915234063,2.4500295261895597,0.20930477813467557,0.176284422001237,0.3855892001359126
4.5,0.9183297388488567,11.244359038689057,2.4987464530420125,0.20532331226521977,0.17630395612551364,0.3816272683907334
4.6,0.921376627724867,11.718864268866184,2.547579188883953,0.20147976532160766,0.1762727868297835,0.37775255215139114
4.7,0.9242633849630073,12.203653211182681,2.5965219598261022,0.19776765090791698,0.17619469834302184,0.37396234925093885
4.8,0.9270005473462929,12.698732853380424,2.645569344454255,0.1941808442487613,0.1760732071260402,0.3702540513748015
4.9,0.9295978398542724,13.204109622268982,2.6947162494426493,0.1907135607714649,0.1759115808720849,0.36662514164354976
5.0,0.932064245565843,13.719789434758878,2.7439578869517756,0.1873603358119928,0.17571285625664157,0.36307319206863437
5.1,0.9344080690946414,14.245777743797476,2.7932897536857797,0.1841160054307669,0.17547985548966757,0.3595958609204345
5.2,0.9366369941728384,14.782079579750917,2.8427076114905607,0.18097568831323504,0.17521520172831265,0.3561908900415477
5.3,0.9387581359427324,15.328699587716413,2.8922074693804554,0.1779347687218087,0.1749213334109021,0.3528561021327108
