# Rényi α=0.5 (n=-0.5) RS entropy density for the noiseless sign channel (q₀=0 ansatz)
# See §4.3 of notes/notes_hiddenmanifold.typ (eq:sign-renyi-main)
gamma,q1,q1hat,Phi_n,S_prior,s_out,s_prior,s
0.05,0.03159785575862948,0.03315263376764005,0.3440074595719536,6.44293182065405e-5,0.6880149191439072,0.0025771727282616202,0.6905920918721689
0.1,0.06271598566061724,0.06907863429936326,0.3413749732159442,0.0002621425969457046,0.6827499464318884,0.005242851938914092,0.6879927983708024
0.15,0.09333436424720179,0.10798162889917837,0.33867605473868173,0.0005997840867580269,0.6773521094773635,0.007997121156773692,0.6853492306341371
0.2,0.1234332936771582,0.1500767220236856,0.3359108451735356,0.0010839713804003531,0.6718216903470712,0.010839713804003531,0.6826614041510747
0.25,0.15299354037721055,0.19559058854498262,0.33307971833921673,0.001721248476709153,0.6661594366784335,0.013769987813673223,0.6799294244921067
0.3,0.1819964715667074,0.24476147692866956,0.3301832953466776,0.002518035238066374,0.6603665906933552,0.01678690158710916,0.6771534922804644
0.35,0.21042419122180056,0.2978391117684118,0.3272224579521226,0.0034805735974840213,0.6544449159042453,0.01988899198562298,0.6743339078898682
0.4,0.23825967358532293,0.3550844835451299,0.32419836047717016,0.004614870966489104,0.6483967209543403,0.02307435483244552,0.6714710757867859
0.45,0.2654868934252337,0.4167695161417923,0.3211124398856633,0.005926641447782932,0.6422248797713266,0.026340628656813032,0.6685655084281397
0.5,0.292090951649746,0.4831766034017225,0.3179664236407602,0.007421245584732394,0.6359328472815204,0.029684982338929577,0.66561782962045
0.55,0.3180581949384552,0.5545980082525412,0.3147623349515302,0.00910362951872358,0.6295246699030604,0.03310410734081302,0.6626287772438735
0.6,0.34337632795014106,0.6313351204608615,0.311502495032891,0.010978264553727773,0.623004990065782,0.03659421517909258,0.6595992052448746
0.65,0.36803451654745745,0.7136975719705391,0.3081895220396484,0.01304908823577712,0.6163790440792968,0.04015104072546806,0.6565300848047648
0.7,0.39202348072332494,0.8020022132476081,0.3048263263444136,0.015319448168281541,0.6096526526888272,0.04376985190937584,0.6534225045982031
0.75,0.4153355751015323,0.896571955153828,0.3014161020044661,0.0177920497714779,0.6028322040089322,0.0474454660572744,0.6502776700662066
0.8,0.4379648562002497,0.9977344890978099,0.2979623141760436,0.02046890931603655,0.5959246283520871,0.05117227329009138,0.6470969016421785
