# Rényi α=100.0 (n=99.0) RS entropy density for the noiseless sign channel (q₀=0 ansatz)
# See §4.3 of notes/notes_hiddenmanifold.typ (eq:sign-renyi-main)
gamma,q1,q1hat,Phi_n,S_prior,s_out,s_prior,s
0.05,0.020778368550587897,0.006941074305580766,-39.92092961454067,-0.48063860073080034,0.4032417132781886,0.0970987072183435,0.500340420496532
0.1,0.03293891784287318,0.007993715558210043,-33.58561024298728,-0.9331877274959005,0.3392485883130028,0.09426138661574752,0.4335099749287503
0.15,0.044217755480697105,0.008603053880469001,-29.854747578369206,-1.3975287293802812,0.3015631068522142,0.09410967874614688,0.3956727855983611
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,0.06823672894563584,0.009442921474078873,-21.557437248011393,-2.474289610859645,0.2177518913940545,0.0999712974084705,0.317723188802525
0.3,0.07702616323696398,0.00967520217395736,-20.039356218953674,-2.8902756496313784,0.20241773958539064,0.09731567843876696,0.2997334180241576
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.4,0.09289081366181062,0.010043272637212757,-17.806266335421526,-3.6648693983275913,0.17986127611536895,0.09254720702847452,0.27240848314384347
0.45,0.10015692181483515,0.010196923106301362,-16.948455341074702,-4.028883463526525,0.17119651859671417,0.09043509457971997,0.26163161317643413
0.5,0.1070654602699109,0.010336921490607692,-16.208357305971955,-4.379999066836882,0.16372078086840358,0.08848482963306832,0.2522056105014719
0.55,0.11366284396841297,0.010466236304460643,-15.560666194627935,-4.719694283118903,0.15717844641038317,0.08667941750447938,0.24385786391486255
0.6,0.11998593896491673,0.010586973187458838,-14.987169126459994,-5.049177144332942,0.15138554673191915,0.08500298222782732,0.23638852895974646
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.7,0.1319236175665261,0.010808508395269804,-14.011994914100317,-5.681358190911576,0.14153530216262947,0.08198208067693472,0.22351738283956418
0.75,0.13758351990880685,0.01091136697997934,-13.592101126359957,-5.985618479425742,0.1372939507713127,0.0806143902952962,0.2179083410666089
0.8,0.14306185766673468,0.011009958843225705,-13.208397847485458,-6.282849132916136,0.1334181600756107,0.07932890319338555,0.21274706326899623
0.85,0.14837363816002785,0.01110484884723798,-12.855843118910272,-6.573586241811928,0.12985700120111385,0.07811748356282744,0.2079744847639413
0.9,0.1535318473797514,0.011196496533143599,-12.530337238385941,-6.858298768886315,0.12656906301399942,0.07697305015585089,0.20354211316985032
0.95,0.15854781719430894,0.011285279300976047,-12.228506444091593,-7.137399901366141,0.1235202671120363,0.07588941947226094,0.19940968658429725
1.0,0.16343151033809716,0.01137151238871618,-11.947544585743504,-7.411256034107731,0.12068226854286368,0.07486117206169425,0.19554344060455792
1.1,0.17283637216057504,0.011537349734674698,-11.439162420694375,-7.944506701200893,0.11554709515852904,0.07295231130579333,0.18849940646432237
1.2,0.1818062222985254,0.011695694981188434,-10.990270423344304,-8.460287548808926,0.11101283255903338,0.07121454165664079,0.18222737421567417
1.3,0.1903894092039619,0.01184780197644937,-10.589864951863103,-8.960428485002675,0.10696833284710204,0.06962259895106973,0.17659093179817176
1.4,0.19862572794803515,0.011994629172696225,-10.229622494928599,-9.446450412831512,0.10332952015079393,0.06815620788478724,0.17148572803558115
1.5,0.20654842629783865,0.012136926066617055,-9.903110585721599,-9.919634536683114,0.10003142005779393,0.06679888576890985,0.16683030582670377
1.6,0.21418563968668075,0.01227529026214924,-9.605266158358999,-10.381072768440866,0.09702289048847473,0.06553707555833879,0.16255996604681353
1.7,0.22156144290186813,0.012410206301713576,-9.332040199140382,-10.831705200132573,0.09426303231454931,0.0643595080221781,0.1586225403367274
1.8,0.2286966366743083,0.012542072872601766,-9.080149348128412,-11.272348466061437,0.09171868028412537,0.06325672539877349,0.15497540568289886
1.9,0.2356093473992676,0.012671221863928626,-8.84689827547471,-11.70371760523174,0.08936260884317888,0.062220720920955555,0.15158332976413444
2.0,0.24231549146242778,0.01279793320818428,-8.630050130046211,-12.126443144592782,0.08717222353582031,0.06124466234642819,0.1484168858822485
2.1,0.2488291400928349,0.01292244504823456,-8.427730363313085,-12.541084636899292,0.085128589528415,0.06032267742616302,0.14545126695457802
2.2,0.2551628096169385,0.013044961869702146,-8.238354201064018,-12.94814150973531,0.08321569900064665,0.05944968553597479,0.14266538453662145
2.3,0.2613276951019037,0.013165660623254957,-8.0605711666289,-13.348061857904893,0.0814199107740293,0.05862126419808913,0.14004117497211843
2.4,0.26733386036357565,0.013284695728309537,-7.893222101419248,-13.741249637032833,0.079729516175952,0.05783354224340418,0.13756305841935618
2.5,0.273190393956241,0.013402202575436018,-7.735305478299564,-14.12807060182357,0.07813439877070266,0.05708311354272149,0.13521751231342416
2.6,0.2789055383373633,0.013518300792994646,-7.585950717300363,-14.508857247782563,0.07662576482121579,0.056366966774602026,0.13299273159581781
2.7,0.2844867976662791,0.013633096440778373,-7.4443968418776265,-14.883912954412821,0.0751959276957336,0.05568242781299222,0.13087835550872584
2.8,0.28994102842584635,0.013746684286708657,-7.309975253750922,-15.253515482912418,0.07383813387627194,0.05502711213171868,0.12886524600799062
2.9,0.2952745161130713,0.013859149234976841,-7.182095716637729,-15.617919947633647,0.07254642138017908,0.054398885223384354,0.12694530660356343
3.0,0.30049304054312465,0.01397056776813903,-7.060234863791577,-15.977361355401856,0.0713155036746624,0.053795829479467525,0.12511133315412992
