# Rényi α=0.05 (n=-0.95) RS entropy density for the sign channel under q₀=0 ansatz
# See §4.3 of notes/notes_hiddenmanifold.typ (eq:sign-renyi-main)
gamma,q1,q1hat,Phi_n,S_prior,s_out,s_prior,s
0.05,0.0317238096225362,0.03378126962779898,0.6579956925704257,1.2461611096178937e-5,0.6926270448109745,0.00026234970728797763,0.6928893945182625
0.1,0.06322509976099216,0.07180520428933676,0.6574745927002753,5.1660569211488955e-5,0.6920785186318688,0.0005437954653840942,0.6926223140972528
0.15,0.09449132046124806,0.11464275307259145,0.6569244917038763,0.00012054851125867933,0.6914994649514489,0.0008459544649731883,0.692345419416422
0.2,0.12550952331484225,0.16295251875592445,0.6563431640895455,0.0002224158710581875,0.6908875411468901,0.001170609847674671,0.6920581509945648
0.25,0.15626637521688477,0.21749615650923232,0.6557281656853748,0.00036093621328674164,0.6902401744056578,0.001519731424365228,0.691759905830023
0.3,0.18674816942478223,0.2791568441529646,0.6550768069424384,0.0005402173257899601,0.6895545336236194,0.0018954993887367023,0.6914500330123561
0.35,0.2169408326886375,0.3489615088735785,0.6543861224490402,0.0007648602198473686,0.6888274973147791,0.002300331488262763,0.6911278288030419
0.4,0.24682992736008075,0.42810766336374895,0.6536528360771375,0.0010400273923741599,0.6880556169233027,0.0027369141904583154,0.690792531113761
0.45,0.2764006482792882,0.5179959196423454,0.6528733210683663,0.0013715219552376257,0.6872350748088066,0.0032082384917839196,0.6904433133005905
0.5,0.30563781281050806,0.6202695162287117,0.6520435542935388,0.0017658795141511363,0.6863616360984619,0.003717641082423445,0.6900792771808854
0.55,0.33452584401403995,0.7368625431047442,0.6511590637609947,0.0022304750311014643,0.6854305934326261,0.0042688517341654825,0.6896994451667916
0.6,0.3630487451008131,0.8700589828910231,0.6502148683652036,0.002773647276144431,0.6844367035423196,0.004866047852884967,0.6893027513952045
0.65,0.39119006500450293,1.022565253249769,0.649205408680742,0.003404843943867003,0.683374114400781,0.0055139173180032445,0.6888880317187842
0.7,0.41893285315349094,1.1975996459860343,0.6481244675157025,0.004134790989479165,0.6822362815954763,0.006217730811246865,0.6884540124067232
0.75,0.44625960294893563,1.399002980830252,0.6469650787604959,0.004975690318634984,0.6810158723794694,0.006983425008610505,0.6879992973880799
0.8,0.4731521819048838,1.6313759534944954,0.6457194230184926,0.0059414505156480946,0.6797046558089396,0.007817698046905387,0.6875223538558449
0.85,0.49959174786645855,1.900250155457618,0.6443787084081264,0.007047955904234793,0.678293377271712,0.008728118766854233,0.6870214960385662
0.9,0.525558648975823,2.2123016158283435,0.6429330350743061,0.008313379668012877,0.6767716158676906,0.009723251073699271,0.68649486694139
0.95,0.5510323071059768,2.575618102344081,0.6413712421264628,0.0097585471027416,0.6751276232910135,0.010812794573674903,0.6859404178646884
1.0,0.575991083147958,3.0000343506413945,0.639680736372354,0.011407354884229115,0.6733481435498464,0.01200774198339907,0.6853558855332454
1.1,0.6242711975319379,4.082873344675906,0.6358549016957546,0.01542978157117153,0.669320949153426,0.014765341216432087,0.6840862903698581
1.2,0.6701984839059765,5.593346444008587,0.6313186051984,0.0206531039685105,0.6645459002088421,0.018116757867114475,0.6826626580759565
1.3,0.7135444227676724,7.732657745215102,0.6258989131844285,0.02743590828732334,0.6588409612467668,0.02221531035410797,0.6810562716008748
1.4,0.7540473924018953,10.808285367491777,0.6193815720541567,0.036244472322429555,0.6519806021622702,0.027251482949195157,0.6792320851114653
1.5,0.7914116981852581,15.289126885418423,0.6115114649595723,0.04766855546743376,0.643696278904813,0.033451617871883346,0.6771478967766963
1.6,0.8253175316347557,21.87871799911987,0.602007146050668,0.06241505251789081,0.6336917326849136,0.04106253455124396,0.6747542672361576
1.7,0.8554522511495415,31.593624637893765,0.5906012557856151,0.08125157481364131,0.6216855324059106,0.05031057264002558,0.6719961050459362
1.8,0.8815719847157574,45.807046059722886,0.5771148585822723,0.1048704485977765,0.6074893248234445,0.061327747717997955,0.6688170725414425
