# Rényi α=0.01 (n=-0.99) RS entropy density for the noiseless sign channel (q₀=0 ansatz)
# See §4.3 of notes/notes_hiddenmanifold.typ (eq:sign-renyi-main)
gamma,q1,q1hat,Phi_n,S_prior,s_out,s_prior,s
0.05,0.03173513230726444,0.033838386520597966,0.6861125980955235,2.6014205249634548e-6,0.6930430283793166,5.255394999926171e-5,0.6930955823293159
0.1,0.06327141824448496,0.07205875931107802,0.6860035854557006,1.080292296214147e-5,0.6929329146017178,0.00010912043396102495,0.6930420350356788
0.15,0.09459792769180217,0.11527765489260111,0.6858881909471791,2.525489318001839e-5,0.6928163544921001,0.00017006662074086457,0.6929864211128409
0.2,0.12570344352018084,0.1642122960366234,0.6857658830021081,4.668877188866716e-5,0.6926928111132404,0.0002358018782255917,0.692928612991466
0.25,0.15657648614783212,0.21969978874138574,0.685636071188267,7.59290117836875e-5,0.6925616880689566,0.00030678388599469697,0.6928684719549513
0.3,0.1872053366196307,0.2827205700878148,0.6854980977990099,0.00011390716876434615,0.692422321009101,0.00038352582075537427,0.6928058468298564
0.35,0.2175780581424372,0.354427190548662,0.6853512279672227,0.0001616785765241463,0.6922739676436593,0.00046660483845352473,0.6927405724821128
0.4,0.24768251447654832,0.43617982520648635,0.685194638001326,0.0002204421608099083,0.6921157959609353,0.0005566721232573441,0.6926724680841927
0.45,0.2775063850748628,0.5295903271830318,0.6850274015611435,0.00029156408944466805,0.6919468702637813,0.0006544648472383121,0.6926013351110196
0.5,0.3070371774370777,0.6365771971730556,0.6848484731912172,0.00037660613586681935,0.6917661345365831,0.0007608204764986249,0.6925269550130817
0.55,0.336262233715237,0.7594345836892685,0.6846566686253079,0.00047735985728261654,0.6915723925508162,0.0008766939527688091,0.6924490865035849
0.6,0.3651687330502491,0.9009194619443764,0.6844506410927381,0.0005958879991305455,0.6913642839320587,0.0010031784497147231,0.6923674623817735
0.65,0.3937436878353928,1.0643625293561092,0.6842288526662155,0.0007345749266005341,0.6911402552183995,0.0011415305774678075,0.6922817857958673
0.7,0.42197393288399665,1.2538102911728797,0.6839895394141924,0.0008961884069467185,0.6908985246608004,0.0012932011644252793,0.6921917258252257
0.75,0.44984610686516685,1.4742085139584549,0.6837306687545699,0.001083955765301181,0.6906370391460303,0.0014598730845807155,0.692096912230611
0.8,0.4773466237708043,1.731641025042062,0.6834498869349903,0.0013016583638661983,0.6903534211464548,0.0016435080351845936,0.6919969291816395
0.85,0.5044616325401967,2.033643264500623,0.6831444539130781,0.0015537496190347055,0.6900449029425031,0.001846404776036489,0.6918913077185396
0.9,0.5311769624863987,2.3896178180130008,0.6828111620306926,0.0018455034958951289,0.6897082444754471,0.002071272161498461,0.6917795166369456
