experiment,repeat,training_objective,D,gamma,N,alpha,M_train,num_steps,fast_debug,final_run,macbook_30min_run,run_mode,t_val,train_loss_t,train_acc_t,test_loss_t,test_acc_t
C,0,repo_uniform_t,80,1.0,80,2.0,160,1500,False,True,False,full_final,0.3,0.4226590162515641,0.8006164288520813,0.7703424644470215,0.6283678603172302
C,0,repo_uniform_t,80,1.0,80,2.0,160,1500,False,True,False,full_final,0.5,0.5061977195739746,0.7494070732593536,0.7639462089538575,0.6091362428665161
C,0,repo_uniform_t,80,1.0,80,2.0,160,1500,False,True,False,full_final,0.7,0.5873448741436005,0.6891752922534943,0.7467268216609955,0.5842559158802032
C,0,repo_uniform_t,80,1.0,80,2.0,160,1500,False,True,False,full_final,0.9,0.6618926024436951,0.605978125333786,0.7158716642856597,0.5489633297920227
C,0,repo_uniform_t,80,1.0,80,5.0,400,1500,False,True,False,full_final,0.1,0.4560234171152115,0.7806243765354156,0.6211111402511597,0.6828664326667786
C,0,repo_uniform_t,80,1.0,80,5.0,400,1500,False,True,False,full_final,0.3,0.5118662106990814,0.7425221776962281,0.6407545268535614,0.6616004252433777
C,0,repo_uniform_t,80,1.0,80,5.0,400,1500,False,True,False,full_final,0.5,0.5666941344738007,0.7028687417507171,0.6615064930915833,0.6359983122348786
C,0,repo_uniform_t,80,1.0,80,5.0,400,1500,False,True,False,full_final,0.7,0.6202014195919037,0.6545951509475708,0.6766313076019287,0.6059835493564606
C,0,repo_uniform_t,80,1.0,80,5.0,400,1500,False,True,False,full_final,0.9,0.6689633655548096,0.5885545468330383,0.6893665587902069,0.5604485630989074
C,0,repo_uniform_t,80,1.0,80,10.0,800,1500,False,True,False,full_final,0.1,0.4999452430009842,0.7519941651821136,0.5793936157226562,0.6991132509708404
C,0,repo_uniform_t,80,1.0,80,10.0,800,1500,False,True,False,full_final,0.3,0.5428334414958954,0.7212429368495941,0.6085707497596741,0.6750059747695922
C,0,repo_uniform_t,80,1.0,80,10.0,800,1500,False,True,False,full_final,0.5,0.5871372997760773,0.6855109918117523,0.6351201689243317,0.6478278756141662
C,0,repo_uniform_t,80,1.0,80,10.0,800,1500,False,True,False,full_final,0.7,0.6303012585639953,0.6429231798648835,0.6596634924411774,0.6143660855293274
C,0,repo_uniform_t,80,1.0,80,10.0,800,1500,False,True,False,full_final,0.9,0.6725206255912781,0.581634476184845,0.6828110361099243,0.5655299127101898
C,0,repo_uniform_t,80,1.0,80,20.0,1600,1500,False,True,False,full_final,0.1,0.5263393741607666,0.7335806267261504,0.5676960003376007,0.7047305119037628
C,0,repo_uniform_t,80,1.0,80,20.0,1600,1500,False,True,False,full_final,0.3,0.5627785134792327,0.7055433633804321,0.5946097052097321,0.6814243233203888
C,0,repo_uniform_t,80,1.0,80,20.0,1600,1500,False,True,False,full_final,0.5,0.600432061958313,0.673442243528366,0.6239986932277679,0.6535858738422394
C,0,repo_uniform_t,80,1.0,80,20.0,1600,1500,False,True,False,full_final,0.7,0.6383318095207214,0.6337663401603699,0.6523986732959748,0.6189234340190888
C,0,repo_uniform_t,80,1.0,80,20.0,1600,1500,False,True,False,full_final,0.9,0.6749398106098176,0.5763532312393188,0.6801743686199189,0.5679123055934906
