L,alpha,batch_size,dataset,epochs,l2reg,model,run_dir,exp_dir,freeze_mask_weights,bias,hebbian,train/loss_t0.1,train/acc_t0.1,train/loss_t0.5,train/acc_t0.5,train/loss_t0.9,train/acc_t0.9,train/loss_t1.0,train/acc_t1.0,train/uturn_overlap_t0.1,train/uturn_overlap_t0.5,train/uturn_overlap_t0.9,train/uturn_overlap_t1.0,sample/top3_overlaps_with_train,train/l2loss,train/qV,train/qW,train/total_loss,val/acc,val/loss,train/acc,train/loss
1024,0.05,512,uniform,25000,0.01,linear,logs/linear_uniform_L1024_alpha0.05_l2reg0.01/version_0/cnode07,,False,False,,,,,,,,,,,,,,,0.08675263318419456,0.004213155582547188,0.8633131599426269,0.2899149276614189,,,0.92821506857872,0.20316229444742204
1024,0.05,512,uniform,5000,0.01,linear,logs/linear_uniform_L1024_alpha0.05_l2reg0.01_fmw/version_0/cnode05,,True,False,,,,,,,,,,,,,,,0.08704858586192131,0.0,0.8704858434200287,0.2901979672908783,,,0.9601572370529174,0.2031493815779686
1024,0.05,512,uniform,5000,0.01,linear,logs/linear_uniform_L1024_alpha0.05_l2reg0.01_fmw/version_1/cnode05,,True,False,,,,,,,,,,,,,,,0.08689595982432366,0.0,0.8689595866203308,0.2937158161401749,,,0.9554760706424713,0.2068198576569557
1024,0.15,512,uniform,5000,0.01,linear,logs/linear_uniform_L1024_alpha0.15_l2reg0.01_fmw/version_0/cnode05,,True,False,,,,,,,,,,,,,,,0.08048810780048371,0.0,2.414643111228943,0.31648342072963714,,,0.8951266992092133,0.2359953147172928
1024,0.1,512,uniform,100,0.0,linear,logs/linear_uniform_L1024_alpha0.1_hebbian/version_0/MacBook-Pro-di-Filippo-2.local,,False,False,True,,,,,,,,,,,,,,0.0,0.024533649906516075,0.10948602110147476,0.47251760959625244,,,0.8486688733100891,0.47251760959625244
1024,0.1,512,uniform,100,0.0,linear,logs/linear_uniform_L1024_alpha0.1_hebbian_fmw/version_0/MacBook-Pro-di-Filippo-2.local,,True,False,True,,,,,,,,,,,,,,,,,,,,,
1024,0.1,512,uniform,5000,0.0,linear,logs/linear_uniform_L1024_alpha0.1_l2reg0.0/version_0/hpc,,,,,2.6336895189160714e-06,1.0,0.007520624902099371,0.9983435869216919,0.3619534969329834,0.8384755253791809,0.7209032773971558,0.5203737616539001,1.0,0.9988893866539001,0.6606349349021912,0.026941636577248573,"[0.23087890446186066, 0.1946386694908142, 0.17711913585662842]",,,,,,,0.9220782283544541,0.0952564215734601
1024,0.1,512,uniform,25000,0.01,linear,logs/linear_uniform_L1024_alpha0.1_l2reg0.01/version_0/cnode07,,False,False,,,,,,,,,,,,,,,0.08379305109381675,0.006637385385110974,1.669223606109619,0.30205466043949125,,,0.9120345113277435,0.21826160830259322
1024,0.1,512,uniform,5000,0.01,linear,logs/linear_uniform_L1024_alpha0.1_l2reg0.01_fmw/version_0/cnode05,,True,False,,,,,,,,,,,,,,,0.08386375710368156,0.0,1.6772751164436341,0.29875182747840884,,,0.9289596736431122,0.21488807022571563
1024,0.1,512,uniform,5000,0.1,linear,logs/linear_uniform_L1024_alpha0.1_l2reg0.1/version_0/hpc,,,,,1.7086844081859454e-06,1.0,0.0077534085139632225,0.9982298016548157,0.35689789056777954,0.8410595655441284,0.7147459387779236,0.5240598320960999,1.0,0.9989277124404907,0.672602653503418,0.003963694907724857,,,,,,,,0.9214519827365876,0.09568076857179403
1024,0.2,512,uniform,100,0.0,linear,logs/linear_uniform_L1024_alpha0.2_hebbian/version_0/MacBook-Pro-di-Filippo-2.local,,False,False,True,,,,,,,,,,,,,,0.0,0.021986057981848717,0.23959732055664062,0.4990256726741791,,,0.8136931657791138,0.4990256726741791
1024,0.2,512,uniform,100,0.0,linear,logs/linear_uniform_L1024_alpha0.2_hebbian_fmw/version_0/MacBook-Pro-di-Filippo-2.local,,True,False,True,,,,,,,,,,,,,,,,,,,,,
1024,0.2,512,uniform,5000,0.0,linear,logs/linear_uniform_L1024_alpha0.2_l2reg0.0/version_0/cnode06,,,,,0.0003709730808623135,1.0,0.06451283395290375,0.9776063561439514,0.5029377341270447,0.7562683820724487,0.7075631022453308,0.5148151516914368,0.9999809265136719,0.986537754535675,0.41135671734809875,-0.004620807711035013,"[0.18446289002895355, 0.16420897841453552, 0.15199218690395355]",,,,,,,0.872158879995346,0.16186048175394535
1024,0.2,512,uniform,25000,0.01,linear,logs/linear_uniform_L1024_alpha0.2_l2reg0.01/version_0/cnode07,,False,False,,,,,,,,,,,,,,,0.07707415723800659,0.011566742897033692,3.071399492263794,0.32903437650203704,,,0.8688910536766052,0.25196021872758867
1024,0.2,512,uniform,5000,0.01,linear,logs/linear_uniform_L1024_alpha0.2_l2reg0.01_fmw/version_0/cnode05,,True,False,,,,,,,,,,,,,,,0.0769320210814476,0.0,3.0772808027267455,0.3265460157394409,,,0.8747443544864655,0.24961399406194687
1024,0.5,512,uniform,100,0.0,linear,logs/linear_uniform_L1024_alpha0.5_hebbian/version_0/MacBook-Pro-di-Filippo-2.local,,False,False,True,,,,,,,,,,,,,,0.0,0.015272356569766998,0.7490084171295166,0.5117937922477722,,,0.7454565167427063,0.5117937922477722
1024,0.5,512,uniform,100,0.0,linear,logs/linear_uniform_L1024_alpha0.5_hebbian_fmw/version_0/MacBook-Pro-di-Filippo-2.local,,True,False,True,,,,,,,,,,,,,,,,,,,,,
1024,0.5,512,uniform,5000,0.0,linear,logs/linear_uniform_L1024_alpha0.5_l2reg0.0/version_0/cnode06,,,,,0.03726344183087349,0.9954489469528198,0.27897992730140686,0.880271852016449,0.6315605044364929,0.6624906063079834,0.7002458572387695,0.5079460144042969,0.9952621459960938,0.8442001342773438,0.24573516845703125,0.00295257568359375,"[0.15391601622104645, 0.13804687559604645, 0.12980468571186066]",,,,,,,0.78300678896904,0.3067392040491104
1024,0.5,512,uniform,25000,0.01,linear,logs/linear_uniform_L1024_alpha0.5_l2reg0.01/version_0/cnode05,,False,False,,,,,,,,,,,,,,,0.054671386614441875,0.024256161913275717,5.442882616043091,0.3939007077217102,,,0.7850531826019287,0.33922932159900665
1024,0.5,512,uniform,5000,0.01,linear,logs/linear_uniform_L1024_alpha0.5_l2reg0.01_fmw/version_0/cnode07,,True,False,,,,,,,,,,,,,,,0.054494042173027994,0.0,5.449404325485229,0.39657910108566286,,,0.7845712614059448,0.342085058093071
1024,1.0,512,uniform,100,0.0,linear,logs/linear_uniform_L1024_alpha1.0_hebbian/version_0/MacBook-Pro-di-Filippo-2.local,,False,False,True,,,,,,,,,,,,,,0.0,0.02640397474169731,2.0018627643585205,0.5407497882843018,,,0.6925081610679626,0.5407497882843018
1024,1.0,512,uniform,100,0.0,linear,logs/linear_uniform_L1024_alpha1.0_hebbian_fmw/version_0/MacBook-Pro-di-Filippo-2.local,,True,False,True,,,,,,,,,,,,,,,,,,,,,
1024,1.0,512,uniform,5000,0.0,linear,logs/linear_uniform_L1024_alpha1.0_l2reg0.0/version_0/cnode06,,,,,0.21911212801933289,0.920757532119751,0.4690549969673157,0.7761678695678711,0.6722240447998047,0.6113148927688599,0.698267936706543,0.5039358139038086,0.9683723449707031,0.6966476440429688,0.17815780639648438,0.0016231536865234375,"[0.1378515660762787, 0.12513671815395355, 0.11858398467302322]",,,,,,,0.7048897266983986,0.45752679771184923
1024,1.0,512,uniform,25000,0.01,linear,logs/linear_uniform_L1024_alpha1.0_l2reg0.01/version_0/cnode05,,False,False,,,,,,,,,,,,,,,0.026708374556154012,0.03445504631847143,5.307219986915588,0.484815963447094,,,0.709349710226059,0.45810758793354034
1024,1.0,512,uniform,5000,0.01,linear,logs/linear_uniform_L1024_alpha1.0_l2reg0.01_fmw/version_0/cnode07,,True,False,,,,,,,,,,,,,,,0.026639602221548556,0.0,5.327920560836792,0.48566376119852067,,,0.7097504305839538,0.45902415782213213
1024,1.5,512,uniform,100,0.0,linear,logs/linear_uniform_L1024_alpha1.5_hebbian/version_0/MacBook-Pro-di-Filippo-2.local,,False,False,True,,,,,,,,,,,,,,0.0,0.035870958119630814,3.7513437271118164,0.5601750810941061,,,0.6647245685259501,0.5601750810941061
1024,1.5,512,uniform,100,0.0,linear,logs/linear_uniform_L1024_alpha1.5_hebbian_fmw/version_0/MacBook-Pro-di-Filippo-2.local,,True,False,True,,,,,,,,,,,,,,,,,,,,,
1024,1.5,512,uniform,5000,0.0,linear,logs/linear_uniform_L1024_alpha1.5_l2reg0.0/version_0/cnode06,,,,,0.37020251154899597,0.8376259803771973,0.5468834042549133,0.7231240272521973,0.6799311637878418,0.5890780687332153,0.6992597579956055,0.5021800994873047,0.9490699768066406,0.6397959589958191,0.15340550243854523,0.00039800009108148515,"[0.13098633289337158, 0.12103515863418579, 0.115234375]",,,,,,,0.6650579465375401,0.5355548734157083
1024,1.5,512,uniform,25000,0.01,linear,logs/linear_uniform_L1024_alpha1.5_l2reg0.01/version_0/cnode05,,False,False,,,,,,,,,,,,,,,0.013373708669096231,0.03464451173444589,3.977467992782593,0.5411583778858184,,,0.6707427981694539,0.5277846686840058
1024,1.5,512,uniform,5000,0.01,linear,logs/linear_uniform_L1024_alpha1.5_l2reg0.01_fmw/version_0/cnode07,,True,False,,,,,,,,,,,,,,,0.013333258163183927,0.0,3.999977345466614,0.5402034111817677,,,0.6714167745908102,0.5268701545397441
1024,2.0,512,uniform,100,0.0,linear,logs/linear_uniform_L1024_alpha2.0_hebbian/version_0/MacBook-Pro-di-Filippo-2.local,,False,False,True,,,,,,,,,,,,,,0.0,0.04563611838966608,5.994548797607422,0.5875704288482666,,,0.645123302936554,0.5875704288482666
1024,2.0,512,uniform,100,0.0,linear,logs/linear_uniform_L1024_alpha2.0_hebbian_fmw/version_0/MacBook-Pro-di-Filippo-2.local,,True,False,True,,,,,,,,,,,,,,,,,,,,,
1024,2.0,512,uniform,5000,0.0,linear,logs/linear_uniform_L1024_alpha2.0_l2reg0.0/version_0/cnode07,,,,,0.4602903127670288,0.7828432321548462,0.5871434211730957,0.6904098987579346,0.6830785274505615,0.5761628150939941,0.6989345550537109,0.5015769004821777,0.9383020401000977,0.6091251373291016,0.14124393463134766,-0.00030517578125,"[0.12916992604732513, 0.11923827975988388, 0.11359374970197678]",,,,,,,0.6405460548871107,0.5792877283728368
1024,3.0,512,uniform,100,0.0,linear,logs/linear_uniform_L1024_alpha3.0_hebbian/version_0/MacBook-Pro-di-Filippo-2.local,,False,False,True,,,,,,,,,,,,,,0.0,0.061602864414453506,11.996049880981445,0.6300621231396993,,,0.618068923552831,0.6300621231396993
1024,3.0,512,uniform,100,0.0,linear,logs/linear_uniform_L1024_alpha3.0_hebbian_fmw/version_0/MacBook-Pro-di-Filippo-2.local,,True,False,True,,,,,,,,,,,,,,,,,,,,,
1024,3.0,512,uniform,5000,0.0,linear,logs/linear_uniform_L1024_alpha3.0_l2reg0.0/version_0/cnode07,,,,,0.5519827604293823,0.7188805937767029,0.6289665699005127,0.650413453578949,0.6886711716651917,0.5589191913604736,0.699790894985199,0.50111323595047,0.9262002110481262,0.5747649073600769,0.12778599560260773,0.0011971791973337531,"[0.12729492783546448, 0.11784179508686066, 0.11229491978883743]",,,,,,,0.6104026686138752,0.6244131435384179
1024,3.0,512,uniform,25000,0.01,linear,logs/linear_uniform_L1024_alpha3.0_l2reg0.01/version_0/cnode05,,False,False,,,,,,,,,,,,,,,0.003169601660221815,0.032501422088593246,1.869259530067444,0.6149193348884583,,,0.6186948115229607,0.6117497327923774
1024,3.0,512,uniform,5000,0.01,linear,logs/linear_uniform_L1024_alpha3.0_l2reg0.01_fmw/version_0/cnode06,,True,False,,,,,,,,,,,,,,,0.00312845031498,0.0,1.877070143620173,0.6135179410378139,,,0.620379219253858,0.6103894903262457
1024,4.0,512,uniform,100,0.0,linear,logs/linear_uniform_L1024_alpha4.0_hebbian/version_0/MacBook-Pro-di-Filippo-2.local,,False,False,True,,,,,,,,,,,,,,0.0,0.07531126774847507,19.990760803222656,0.676170714199543,,,0.6024296209216118,0.676170714199543
