repeat,seed,D,gamma,N,alpha,M_train,M_test,alpha_code,K,t_mask,train_loss,test_loss,train_acc,test_acc,loss_gap,mmd_biased_multiscale,mmd2_biased_multiscale,mmd2_unbiased_multiscale_raw,baseline_mmd_biased_multiscale,baseline_mmd2_biased_multiscale,baseline_mmd2_unbiased_multiscale_raw,train_mmd_biased_multiscale,train_mmd2_biased_multiscale,train_mmd2_unbiased_multiscale_raw,traintrue_mmd_biased_multiscale,traintrue_mmd2_biased_multiscale,traintrue_mmd2_unbiased_multiscale_raw,mmd_biased_lambda_0_5,mmd2_biased_lambda_0_5,mmd2_unbiased_lambda_0_5_raw,baseline_mmd_biased_lambda_0_5,baseline_mmd2_biased_lambda_0_5,baseline_mmd2_unbiased_lambda_0_5_raw,train_mmd_biased_lambda_0_5,train_mmd2_biased_lambda_0_5,train_mmd2_unbiased_lambda_0_5_raw,mmd_biased_lambda_1,mmd2_biased_lambda_1,mmd2_unbiased_lambda_1_raw,baseline_mmd_biased_lambda_1,baseline_mmd2_biased_lambda_1,baseline_mmd2_unbiased_lambda_1_raw,train_mmd_biased_lambda_1,train_mmd2_biased_lambda_1,train_mmd2_unbiased_lambda_1_raw,mmd_biased_lambda_2,mmd2_biased_lambda_2,mmd2_unbiased_lambda_2_raw,baseline_mmd_biased_lambda_2,baseline_mmd2_biased_lambda_2,baseline_mmd2_unbiased_lambda_2_raw,train_mmd_biased_lambda_2,train_mmd2_biased_lambda_2,train_mmd2_unbiased_lambda_2_raw,mmd_biased_lambda_4,mmd2_biased_lambda_4,mmd2_unbiased_lambda_4_raw,baseline_mmd_biased_lambda_4,baseline_mmd2_biased_lambda_4,baseline_mmd2_unbiased_lambda_4_raw,train_mmd_biased_lambda_4,train_mmd2_biased_lambda_4,train_mmd2_unbiased_lambda_4_raw,mmd_biased_lambda_8,mmd2_biased_lambda_8,mmd2_unbiased_lambda_8_raw,baseline_mmd_biased_lambda_8,baseline_mmd2_biased_lambda_8,baseline_mmd2_unbiased_lambda_8_raw,train_mmd_biased_lambda_8,train_mmd2_biased_lambda_8,train_mmd2_unbiased_lambda_8_raw,mmd_biased_lambda_16,mmd2_biased_lambda_16,mmd2_unbiased_lambda_16_raw,baseline_mmd_biased_lambda_16,baseline_mmd2_biased_lambda_16,baseline_mmd2_unbiased_lambda_16_raw,train_mmd_biased_lambda_16,train_mmd2_biased_lambda_16,train_mmd2_unbiased_lambda_16_raw
0,11047,20,1.0,20,0.5,10,1000,0.5,10,0.5,0.32758933305740356,0.7997335195541382,0.8829270195960999,0.5586255693435669,0.4721441864967346,0.08483963934563189,0.00719776440429689,0.005855097165687815,0.037006318523692815,0.0013694676106770097,2.4127013162249012e-05,0.217942730488508,0.04749903377278644,0.04621422295374802,0.24569915057066405,0.06036807259114584,0.05908017429636667,0.035005356732934076,0.001225374999999973,0.0007867358608608654,0.020959782918716818,0.0004393124999997333,3.39339339294753e-07,0.11427598172844516,0.013058999999999932,0.012634452702702692,0.05952310475773314,0.003543000000000074,0.002768010635635587,0.027997767768159078,0.0007838749999997674,7.66779279270935e-06,0.14864323899861712,0.022094812500000005,0.02134618393393395,0.09210184580126493,0.008482749999999983,0.007248144519519495,0.035575184468952734,0.0012655937500000158,2.7749749749839125e-05,0.18474501008146324,0.034130718749999955,0.03294213557307302,0.11698130192470958,0.013684625000000061,0.012001593093093121,0.04170843739580812,0.0017395937500000458,5.113607357359884e-05,0.22409951751398316,0.05022059375000004,0.0486083661786787,0.10687874627937026,0.011423066406250001,0.009491314165728224,0.04446926607219862,0.0019775156249999953,4.1359883320823965e-05,0.2702501879046525,0.07303516406249999,0.07119428531656657,0.06948215612321806,0.004827770019531249,0.0028347847192896026,0.04484322734887064,0.0020109150390625,1.6509240197228048e-05,0.3040623514580829,0.09245391357421874,0.09055991401753315
0,11062,20,1.0,20,2.0,40,1000,2.0,10,0.5,0.49904370307922363,0.6880704760551453,0.7521864116191864,0.6118501198291778,0.18902677297592163,0.05719167220663889,0.0032708873697916314,0.0019266031242016655,0.037006318523692815,0.0013694676106770097,2.4127013162249012e-05,0.12070241470934477,0.014569072916666648,0.013240486517930703,0.130830558394305,0.017116635009765648,0.015787163567701847,0.030854497241080463,0.0009519999999998419,0.0005132912912912957,0.020959782918716818,0.0004393124999997333,3.39339339294753e-07,0.06903803299631359,0.004766250000000083,0.004331861111111168,0.044685008671812874,0.0019967499999999916,0.0012211988238237659,0.027997767768159078,0.0007838749999997674,7.66779279270935e-06,0.08897717403918765,0.007916937499999888,0.0071492701451452145,0.06153632057573827,0.0037867187500000288,0.002550285160160204,0.035575184468952734,0.0012655937500000158,2.7749749749839125e-05,0.10816971618711022,0.011700687499999973,0.01047750838338335,0.07356056178415128,0.005411156249999938,0.0037247823448448014,0.04170843739580812,0.0017395937500000458,5.113607357359884e-05,0.12593103271235395,0.01585862499999996,0.014191702984234222,0.0685090094440139,0.004693484374999987,0.002758847816566559,0.04446926607219862,0.0019775156249999953,4.1359883320823965e-05,0.14599399334818536,0.02131424609374999,0.019403509384384385,0.05277513471086549,0.00278521484375,0.0007912133085233673,0.04484322734887064,0.0020109150390625,1.6509240197228048e-05,0.16080326926480693,0.02585769140625,0.023889067099325888
0,11142,20,1.0,20,10.0,200,1000,10.0,10,0.5,0.5815708637237549,0.6278494000434875,0.6883555293083191,0.6480447244644165,0.046278536319732666,0.04575355524309387,0.0020933878173828428,0.000747761209533087,0.037006318523692815,0.0013694676106770097,2.4127013162249012e-05,0.061015234540470684,0.0037228588460286468,0.002380358266469616,0.06676838695628924,0.004458017496744775,0.003115605240820246,0.02325268801665789,0.0005406875000000255,0.0001016726726725814,0.020959782918716818,0.0004393124999997333,3.39339339294753e-07,0.03350652921446965,0.001122687500000108,0.0006844473223224234,0.03362755566496388,0.0011308125000002445,0.00035447222222217967,0.027997767768159078,0.0007838749999997674,7.66779279270935e-06,0.043749285708454384,0.0019139999999999713,0.0011391307557557795,0.04655809542925835,0.0021676562499999275,0.0009294772272272489,0.035575184468952734,0.0012655937500000158,2.7749749749839125e-05,0.054350137994304555,0.002953937499999948,0.001718362737737733,0.05689738570444145,0.003237312499999978,0.0015483000500500776,0.04170843739580812,0.0017395937500000458,5.113607357359884e-05,0.06463467045634239,0.004177640624999979,0.002492612643893888,0.056154850079935266,0.0031533671875000058,0.001216739598973976,0.04446926607219862,0.0019775156249999953,4.1359883320823965e-05,0.07471184226747456,0.005581859374999998,0.0036501187593843964,0.0482751588997579,0.0023304909667968745,0.0003359054860524579,0.04484322734887064,0.0020109150390625,1.6509240197228048e-05,0.08116050810691045,0.006587028076171875,0.004597477379723473
0,12047,20,2.0,40,0.5,10,1000,0.25,10,0.75,0.3750721216201782,0.7508834600448608,0.8598623132705688,0.5693718326091767,0.3758113384246826,0.0817745059552106,0.0066870698242187734,0.005337662399419276,0.038249011723003636,0.0014629868977864694,0.0001101697184652351,0.2352716564300426,0.05535275231933601,0.05406877657654399,0.25948466808031245,0.06733229296874993,0.06604492599728627,0.03560021067353493,0.0012673750000000705,0.000827760010009948,0.022847319317589786,0.0005219999999999114,8.188113113116735e-05,0.1390755190534991,0.019342000000000192,0.01892350137637644,0.05983205662519057,0.00357987500000001,0.002801611861861897,0.030236567265483634,0.0009142500000001164,0.00013424274274287384,0.1785595138882277,0.031883500000000176,0.031142448198198114,0.09173092444753872,0.008414562500000056,0.007171562187187175,0.03779219496139408,0.0014282500000000198,0.0001807345470470345,0.2150385139922614,0.0462415625,0.04505773986486494,0.11475776117544298,0.013169343750000007,0.011472552396146196,0.043262642660845625,0.00187165625000002,0.00016757013263263287,0.24585135880242764,0.06044289062500002,0.05882718546671667,0.10030764201632394,0.010061623046874996,0.008119053217279772,0.04504002126581423,0.002028603515624998,8.076036192442015e-05,0.2807467650637314,0.07881874609375,0.07697089832019519,0.06024649075620505,0.0036296396484375004,0.001633434724030671,0.04486826964675315,0.00201316162109375,1.5829395313281865e-05,0.3088491779125624,0.09538781469726562,0.0934908862329126
0,12062,20,2.0,40,2.0,40,1000,1.0,10,0.75,0.5240010023117065,0.6786820292472839,0.7407087230682373,0.6106349670886994,0.1546810269355774,0.06397314938920395,0.004092563842773406,0.002741045500212152,0.038249011723003636,0.0014629868977864694,0.0001101697184652351,0.11670997568536798,0.013621218424479185,0.012285202449112527,0.13135430270900625,0.01725395284016925,0.01591658002374936,0.031385705344947334,0.0009850624999998558,0.0005451133633633809,0.022847319317589786,0.0005219999999999114,8.188113113116735e-05,0.060869224572029285,0.0037050625000001336,0.0032692227227226756,0.04868906448064041,0.0023706249999999596,0.001591265765765959,0.030236567265483634,0.0009142500000001164,0.00013424274274287384,0.07923225353351987,0.006277749999999971,0.005505966466466505,0.07089583027230853,0.005026218749999978,0.003780444694694629,0.03779219496139408,0.0014282500000000198,0.0001807345470470345,0.09862222746419812,0.009726343750000033,0.008493488363363388,0.08665124061431562,0.00750843750000002,0.005807192411161177,0.043262642660845625,0.00187165625000002,0.00016757013263263287,0.12021517167146573,0.014451687499999977,0.01276967967967968,0.07695383407033725,0.005921892578124997,0.003976058018956452,0.04504002126581423,0.002028603515624998,8.076036192442015e-05,0.14579615076580382,0.021256517578124995,0.019334518182244742,0.05237505826741986,0.002743146728515625,0.0007461987473313153,0.04486826964675315,0.00201316162109375,1.5829395313281865e-05,0.1622034192572709,0.02630994921875,0.024338339280198167
0,12142,20,2.0,40,10.0,200,1000,5.0,10,0.75,0.5875909328460693,0.6292189955711365,0.6853388297557831,0.6458796691894532,0.04162806272506714,0.048950408960854626,0.002396142537434917,0.0010437295994725258,0.038249011723003636,0.0014629868977864694,0.0001101697184652351,0.06711938195424061,0.0045050114339192406,0.003156261893525998,0.06845973139438366,0.004686734822591159,0.0033374968538688586,0.027857898341403144,0.0007760624999999521,0.0003359712212211985,0.022847319317589786,0.0005219999999999114,8.188113113116735e-05,0.04059017738320277,0.0016475624999998661,0.0012086156156154715,0.03919980867300477,0.0015366250000001802,0.0007567911661661153,0.030236567265483634,0.0009142500000001164,0.00013424274274287384,0.052557706380701494,0.0027623125000000304,0.001984560560560622,0.052461295256597956,0.0027521874999999474,0.0015052085210210953,0.03779219496139408,0.0014282500000000198,0.0001807345470470345,0.06387830226297485,0.004080437499999978,0.002836900525525543,0.061501778429571004,0.0037824687500000453,0.0020793063375876275,0.043262642660845625,0.00187165625000002,0.00016757013263263287,0.07250366370053277,0.005256781249999953,0.0035584104729729504,0.057364803696386864,0.0032907207031249996,0.0013435310857732724,0.04504002126581423,0.002028603515624998,8.076036192442015e-05,0.07935075909372255,0.006296542968749992,0.004354672242555049,0.04731586173245052,0.002238790771484375,0.00024156926506584695,0.04486826964675315,0.00201316162109375,1.5829395313281865e-05,0.08358487832596052,0.006986431884765625,0.004994411943926349
0,21047,40,1.0,40,0.5,20,1000,0.5,20,0.5,0.32766610383987427,0.8356160521507263,0.875661906003952,0.5633571231365204,0.507949948310852,0.06518269004156425,0.00424878308105464,0.0028951747447724285,0.037025051674473446,0.001370854451497429,1.5365735343883915e-05,0.1678565676737073,0.028175827311197877,0.026855268010767874,0.18680793987556674,0.034897206400553354,0.03357468516593987,0.02957405957929678,0.0008746249999997957,0.0004341839339339071,0.020882109567760272,0.0004360624999999452,-4.641141141181748e-06,0.09790939689324976,0.009586249999999907,0.009156322447447351,0.048094958155714365,0.002313124999999916,0.0015324559559559692,0.027965380383612248,0.0007820625000001247,4.273023022083322e-07,0.1257636672493288,0.0158164999999999,0.015054562562562435,0.07233904547338166,0.005232937499999979,0.003984220595595556,0.03564188196490366,0.0012703437500001247,1.9070195195203254e-05,0.15178912181049073,0.023039937499999996,0.021821429116616553,0.08979229504807204,0.008062656250000022,0.00635704122872871,0.041870148972746754,0.001753109375000006,4.337005755755685e-05,0.17493320153704375,0.030601624999999966,0.028937682401151132,0.07919021305533912,0.006271089843750001,0.004322347992523769,0.04452770819248391,0.001982716796874999,3.1120276526526436e-05,0.20205950836789394,0.040828044921875,0.03892724056478353,0.05232843292683362,0.002738264892578125,0.0007407987618966621,0.04473065824587622,0.0020008317871093744,2.8477216229903617e-06,0.2217715185620383,0.0491826064453125,0.04723437097204626
0,21062,40,1.0,40,2.0,80,1000,2.0,20,0.5,0.5134296417236328,0.7072566151618958,0.7449447071552276,0.6074199008941651,0.19382697343826294,0.04941578924848593,0.0024419202270507777,0.001086953681138819,0.037025051674473446,0.001370854451497429,1.5365735343883915e-05,0.0930881623256644,0.008665405965169244,0.007319219146392479,0.10308289011616073,0.010626082234700468,0.009279267281584156,0.024525496936859844,0.0006014999999999215,0.0001608369619621186,0.020882109567760272,0.0004360624999999452,-4.641141141181748e-06,0.05684903253354388,0.003231812499999931,0.0027942726476475332,0.0368552913433074,0.0013583125000000695,0.0005769100350347944,0.027965380383612248,0.0007820625000001247,4.273023022083322e-07,0.07283800518959904,0.005305375000000057,0.004529404279279392,0.052527373815944516,0.0027591249999999734,0.0015085533033033505,0.03564188196490366,0.0012703437500001247,1.9070195195203254e-05,0.08716722434493311,0.0075981249999999,0.006355974474474446,0.06412536549603451,0.004112062500000013,0.002403511824324356,0.041870148972746754,0.001753109375000006,4.337005755755685e-05,0.09825206740827365,0.00965346874999995,0.007955964933683668,0.05968095513855321,0.0035618164062500013,0.0016110472855668106,0.04452770819248391,0.001982716796874999,3.1120276526526436e-05,0.11017744033773431,0.012139068359375005,0.01020053612987988,0.0475258346171289,0.002258704956054688,0.0002608626766414852,0.04473065824587622,0.0020008317871093744,2.8477216229903617e-06,0.11859420804424062,0.014064586181640625,0.012079162413389952
0,21142,40,1.0,40,10.0,400,1000,10.0,20,0.5,0.5856231451034546,0.6285125017166138,0.6861494743824005,0.6479389989376068,0.04288935661315918,0.04157732593103458,0.0017286740315754807,0.00037323875478669855,0.037025051674473446,0.001370854451497429,1.5365735343883915e-05,0.049378511997657984,0.0024382374471028532,0.0010844732534455324,0.05458570939733368,0.002979599670410163,0.0016257031610060646,0.023489359293094245,0.000551750000000073,0.00011110347847842483,0.020882109567760272,0.0004360624999999452,-4.641141141181748e-06,0.02626309197333864,0.0006897500000000445,0.00024954729729742553,0.032347720166958006,0.0010463749999998218,0.00026482457457466246,0.027965380383612248,0.0007820625000001247,4.273023022083322e-07,0.03463560306967278,0.0011996249999999264,0.0004189329329329361,0.042430089559178416,0.001800312499999901,0.000549133633633625,0.03564188196490366,0.0012703437500001247,1.9070195195203254e-05,0.043711054093901414,0.0019106562499999757,0.0006610100100100658,0.04978532037659258,0.002478578124999964,0.000768902027027063,0.041870148972746754,0.001753109375000006,4.337005755755685e-05,0.05284218840093575,0.002792296874999989,0.0010848882632632506,0.04926570181170669,0.002427109375,0.0004755318756256288,0.04452770819248391,0.001982716796874999,3.1120276526526436e-05,0.061228312486953256,0.003748906249999996,0.0017998500727289812,0.04547437948398114,0.002067919189453125,6.993693938078718e-05,0.04473065824587622,0.0020008317871093744,2.8477216229903617e-06,0.06548427526984771,0.004288190307617188,0.0022926109444405345
0,22047,40,2.0,80,0.5,20,1000,0.25,20,0.75,0.34898117184638977,0.7956565022468567,0.8607881057262421,0.5700289416313171,0.4466753304004669,0.06660968486640133,0.0044368501180012945,0.0030805469857267636,0.03543044950485213,0.0012553167521158766,-0.00010337941542617655,0.16610485016510632,0.027590821248372418,0.026267067270151028,0.1852659246864757,0.03432346284993489,0.03299737854354193,0.030273751006440988,0.0009164999999999868,0.0004755897147146193,0.018734993995194932,0.0003509999999999902,-9.033533533542304e-05,0.09390753430902225,0.008818625000000191,0.008387872247247463,0.04965757746809595,0.0024658749999999507,0.0016836966966966571,0.025296985986474944,0.0006399374999999097,-0.0001436076076075654,0.12083589077753333,0.014601312499999963,0.013837235735735698,0.07498353986042541,0.005622531250000007,0.004370053240740801,0.032764786738205584,0.0010735312500000926,-0.00018234722222221222,0.14678002248262517,0.02154437499999995,0.020321156906906834,0.09271967159130802,0.008596937500000013,0.006885457770270276,0.03960074178598125,0.0015682187499999611,-0.00014852624499500644,0.1721338959211695,0.029630078125000014,0.027959307494994978,0.07998145537013564,0.006397033203124999,0.0044443805680680695,0.04363892148930807,0.0019043554687499936,-5.1701803365868104e-05,0.2028281581012607,0.04113926171875001,0.03923422384102853,0.05120765328427785,0.0026222237548828124,0.0006241039238701592,0.04466382813805051,0.0019948575439453125,-3.7582790309840554e-06,0.2231843971842216,0.049811275146484375,0.04786260739499265
