decoding,alpha,t0,frac_masked,frac_correct,frac_errors
fair,0.1,0.7000000000000001,0.7001953125,0.9642187356948853,0.03578124940395355
fair,0.1,0.72,0.7197265625,0.9582617282867432,0.04173828288912773
fair,0.1,0.74,0.740234375,0.9489452838897705,0.051054686307907104
fair,0.1,0.76,0.759765625,0.9397070407867432,0.06029297038912773
fair,0.1,0.78,0.7802734375,0.9267382621765137,0.07326171547174454
fair,0.1,0.8,0.7998046875,0.9110058546066284,0.08899413794279099
fair,0.1,0.8200000000000001,0.8203125,0.89404296875,0.10595703125
fair,0.1,0.84,0.83984375,0.8748340010643005,0.12516601383686066
fair,0.1,0.86,0.8603515625,0.845751941204071,0.15424804389476776
fair,0.1,0.88,0.8798828125,0.8248437643051147,0.17515625059604645
fair,0.1,0.9,0.900390625,0.7894921898841858,0.2105078101158142
fair,0.1,0.92,0.919921875,0.7521191239356995,0.24788086116313934
fair,0.1,0.9400000000000001,0.9404296875,0.7073144316673279,0.29268553853034973
fair,0.1,0.96,0.9599609375,0.6513574123382568,0.34864258766174316
fair,0.1,0.98,0.98046875,0.5850976705551147,0.41490232944488525
fair,0.1,1.0,1.0,0.5069726705551147,0.49302732944488525
fair,0.2,0.0,0.0,1.0,0.0
fair,0.2,0.02,0.01953125,1.0,0.0
fair,0.2,0.04,0.0400390625,1.0,0.0
fair,0.2,0.06,0.0595703125,0.9999706745147705,2.9296874345163815e-05
fair,0.2,0.08,0.080078125,0.9999902248382568,9.765624781721272e-06
fair,0.2,0.1,0.099609375,0.9999804496765137,1.9531249563442543e-05
fair,0.2,0.12,0.1201171875,0.9999023675918579,9.765625145519152e-05
fair,0.2,0.14,0.1396484375,0.9999023675918579,9.765625145519152e-05
fair,0.2,0.16,0.16015625,0.9998144507408142,0.00018554687267169356
fair,0.2,0.18,0.1796875,0.9996972680091858,0.00030273437732830644
fair,0.2,0.2,0.2001953125,0.9996093511581421,0.0003906250058207661
fair,0.2,0.22,0.2197265625,0.9994921684265137,0.0005078124813735485
fair,0.2,0.24,0.240234375,0.9991308450698853,0.0008691406110301614
fair,0.2,0.26,0.259765625,0.9986425638198853,0.0013574218610301614
fair,0.2,0.28,0.2802734375,0.9981054663658142,0.0018945313058793545
fair,0.2,0.3,0.2998046875,0.9975488185882568,0.0024511718656867743
fair,0.2,0.32,0.3203125,0.9968359470367432,0.0031640625093132257
fair,0.2,0.34,0.33984375,0.9957226514816284,0.004277343861758709
fair,0.2,0.36,0.3603515625,0.9949023723602295,0.005097656045109034
fair,0.2,0.38,0.3798828125,0.9935351610183716,0.006464843638241291
fair,0.2,0.4,0.400390625,0.9912109375,0.0087890625
fair,0.2,0.42,0.419921875,0.9898046851158142,0.010195312090218067
fair,0.2,0.44,0.4404296875,0.9874414205551147,0.012558593414723873
fair,0.2,0.46,0.4599609375,0.9844531416893005,0.015546875074505806
fair,0.2,0.48,0.48046875,0.9818359613418579,0.01816406287252903
fair,0.2,0.5,0.5,0.9778613448143005,0.022138671949505806
fair,0.2,0.52,0.51953125,0.9739453196525574,0.026054687798023224
fair,0.2,0.54,0.5400390625,0.9689355492591858,0.031064452603459358
fair,0.2,0.56,0.5595703125,0.963134765625,0.036865234375
fair,0.2,0.58,0.580078125,0.9578222632408142,0.04217773303389549
fair,0.2,0.6,0.599609375,0.9527929425239563,0.04720703139901161
fair,0.2,0.62,0.6201171875,0.943408191204071,0.05659179762005806
fair,0.2,0.64,0.6396484375,0.9355566501617432,0.06444335728883743
fair,0.2,0.66,0.66015625,0.9260644316673279,0.07393554598093033
fair,0.2,0.68,0.6796875,0.9193456768989563,0.08065429329872131
fair,0.2,0.7000000000000001,0.7001953125,0.9078222513198853,0.09217773377895355
fair,0.2,0.72,0.7197265625,0.8960937261581421,0.10390625149011612
fair,0.2,0.74,0.740234375,0.8804004192352295,0.1195996105670929
fair,0.2,0.76,0.759765625,0.8698828220367432,0.13011719286441803
fair,0.2,0.78,0.7802734375,0.8552050590515137,0.14479492604732513
fair,0.2,0.8,0.7998046875,0.8353124856948853,0.16468749940395355
fair,0.2,0.8200000000000001,0.8203125,0.8191211223602295,0.1808789074420929
fair,0.2,0.84,0.83984375,0.7975390553474426,0.20246094465255737
fair,0.2,0.86,0.8603515625,0.7716601490974426,0.22833985090255737
fair,0.2,0.88,0.8798828125,0.7477636933326721,0.25223633646965027
fair,0.2,0.9,0.900390625,0.717480480670929,0.28251951932907104
fair,0.2,0.92,0.919921875,0.6865234375,0.3134765625
fair,0.2,0.9400000000000001,0.9404296875,0.6515234112739563,0.3484765589237213
fair,0.2,0.96,0.9599609375,0.612060546875,0.387939453125
fair,0.2,0.98,0.98046875,0.5612890720367432,0.43871092796325684
fair,0.2,1.0,1.0,0.507519543170929,0.49248045682907104
fair,0.5,0.0,0.0,1.0,0.0
fair,0.5,0.02,0.01953125,0.9995800852775574,0.0004199218819849193
fair,0.5,0.04,0.0400390625,0.9992480278015137,0.0007519531063735485
fair,0.5,0.06,0.0595703125,0.9986035227775574,0.0013964843237772584
fair,0.5,0.08,0.080078125,0.9978222846984863,0.0021777343936264515
fair,0.5,0.1,0.099609375,0.9968359470367432,0.0031640625093132257
fair,0.5,0.12,0.1201171875,0.9952636957168579,0.0047363280318677425
fair,0.5,0.14,0.1396484375,0.9940429925918579,0.0059570311568677425
fair,0.5,0.16,0.16015625,0.9922656416893005,0.007734375074505806
fair,0.5,0.18,0.1796875,0.9903905987739563,0.009609375149011612
fair,0.5,0.2,0.2001953125,0.9875390529632568,0.012460937723517418
fair,0.5,0.22,0.2197265625,0.9857324361801147,0.014267577789723873
fair,0.5,0.24,0.240234375,0.9826855659484863,0.017314452677965164
fair,0.5,0.26,0.259765625,0.9784472584724426,0.021552734076976776
fair,0.5,0.28,0.2802734375,0.9766601324081421,0.02333984337747097
fair,0.5,0.3,0.2998046875,0.9726660251617432,0.027333984151482582
fair,0.5,0.32,0.3203125,0.9673437476158142,0.03265624865889549
fair,0.5,0.34,0.33984375,0.9635840058326721,0.03641601651906967
fair,0.5,0.36,0.3603515625,0.9584375023841858,0.04156250134110451
fair,0.5,0.38,0.3798828125,0.9537792801856995,0.04622070491313934
fair,0.5,0.4,0.400390625,0.9473437666893005,0.05265624821186066
fair,0.5,0.42,0.419921875,0.9423730373382568,0.05762695148587227
fair,0.5,0.44,0.4404296875,0.9341894388198853,0.06581054627895355
