decoding,alpha,t0,frac_masked,frac_correct,frac_errors
fair,0.05,0.0,0.0,1.0,0.0
fair,0.05,0.02,0.01953125,1.0,0.0
fair,0.05,0.04,0.0400390625,1.0,0.0
fair,0.05,0.06,0.0595703125,1.0,0.0
fair,0.05,0.08,0.080078125,1.0,0.0
fair,0.05,0.1,0.099609375,1.0,0.0
fair,0.05,0.12,0.1201171875,1.0,0.0
fair,0.05,0.14,0.1396484375,1.0,0.0
fair,0.05,0.16,0.16015625,1.0,0.0
fair,0.05,0.18,0.1796875,1.0,0.0
fair,0.05,0.2,0.2001953125,1.0,0.0
fair,0.05,0.22,0.2197265625,1.0,0.0
fair,0.05,0.24,0.240234375,1.0,0.0
fair,0.05,0.26,0.259765625,1.0,0.0
fair,0.05,0.28,0.2802734375,1.0,0.0
fair,0.05,0.3,0.2998046875,1.0,0.0
fair,0.05,0.32,0.3203125,1.0,0.0
fair,0.05,0.34,0.33984375,1.0,0.0
fair,0.05,0.36,0.3603515625,1.0,0.0
fair,0.05,0.38,0.3798828125,1.0,0.0
fair,0.05,0.4,0.400390625,1.0,0.0
fair,0.05,0.42,0.419921875,1.0,0.0
fair,0.05,0.44,0.4404296875,1.0,0.0
fair,0.05,0.46,0.4599609375,1.0,0.0
fair,0.05,0.48,0.48046875,1.0,0.0
fair,0.05,0.5,0.5,1.0,0.0
fair,0.05,0.52,0.51953125,1.0,0.0
fair,0.05,0.54,0.5400390625,0.9990234375,0.0009765625
fair,0.05,0.56,0.5595703125,1.0,0.0
fair,0.05,0.58,0.580078125,1.0,0.0
fair,0.05,0.6,0.599609375,0.9990234375,0.0009765625
fair,0.05,0.62,0.6201171875,0.9990234375,0.0009765625
fair,0.05,0.64,0.6396484375,0.986328125,0.013671875
fair,0.05,0.66,0.66015625,0.99609375,0.00390625
fair,0.05,0.68,0.6796875,0.9970703125,0.0029296875
fair,0.05,0.7000000000000001,0.7001953125,0.9951171875,0.0048828125
fair,0.05,0.72,0.7197265625,0.994140625,0.005859375
fair,0.05,0.74,0.740234375,0.9873046875,0.0126953125
fair,0.05,0.76,0.759765625,0.9697265625,0.0302734375
fair,0.05,0.78,0.7802734375,0.970703125,0.029296875
fair,0.05,0.8,0.7998046875,0.974609375,0.025390625
fair,0.05,0.8200000000000001,0.8203125,0.9599609375,0.0400390625
fair,0.05,0.84,0.83984375,0.92578125,0.07421875
fair,0.05,0.86,0.8603515625,0.9033203125,0.0966796875
fair,0.05,0.88,0.8798828125,0.892578125,0.107421875
fair,0.05,0.9,0.900390625,0.8466796875,0.1533203125
fair,0.05,0.92,0.919921875,0.849609375,0.150390625
fair,0.05,0.9400000000000001,0.9404296875,0.740234375,0.259765625
fair,0.05,0.96,0.9599609375,0.767578125,0.232421875
fair,0.05,0.98,0.98046875,0.609375,0.390625
fair,0.05,1.0,1.0,0.5029296875,0.4970703125
fair,0.1,0.0,0.0,1.0,0.0
