decoding,alpha,t0,frac_masked,frac_correct,frac_errors
greedy,0.05,0.0,0.0,1.0,0.0
greedy,0.05,0.02,0.01953125,1.0,0.0
greedy,0.05,0.04,0.0400390625,1.0,0.0
greedy,0.05,0.06,0.0595703125,1.0,0.0
greedy,0.05,0.08,0.080078125,1.0,0.0
greedy,0.05,0.1,0.099609375,1.0,0.0
greedy,0.05,0.12,0.1201171875,1.0,0.0
greedy,0.05,0.14,0.1396484375,1.0,0.0
greedy,0.05,0.16,0.16015625,1.0,0.0
greedy,0.05,0.18,0.1796875,1.0,0.0
greedy,0.05,0.2,0.2001953125,1.0,0.0
greedy,0.05,0.22,0.2197265625,1.0,0.0
greedy,0.05,0.24,0.240234375,1.0,0.0
greedy,0.05,0.26,0.259765625,1.0,0.0
greedy,0.05,0.28,0.2802734375,1.0,0.0
greedy,0.05,0.3,0.2998046875,1.0,0.0
greedy,0.05,0.32,0.3203125,1.0,0.0
greedy,0.05,0.34,0.33984375,1.0,0.0
greedy,0.05,0.36,0.3603515625,1.0,0.0
greedy,0.05,0.38,0.3798828125,1.0,0.0
greedy,0.05,0.4,0.400390625,1.0,0.0
greedy,0.05,0.42,0.419921875,1.0,0.0
greedy,0.05,0.44,0.4404296875,1.0,0.0
greedy,0.05,0.46,0.4599609375,1.0,0.0
greedy,0.05,0.48,0.48046875,1.0,0.0
greedy,0.05,0.5,0.5,1.0,0.0
greedy,0.05,0.52,0.51953125,1.0,0.0
greedy,0.05,0.54,0.5400390625,1.0,0.0
greedy,0.05,0.56,0.5595703125,1.0,0.0
greedy,0.05,0.58,0.580078125,1.0,0.0
greedy,0.05,0.6,0.599609375,1.0,0.0
greedy,0.05,0.62,0.6201171875,1.0,0.0
greedy,0.05,0.64,0.6396484375,1.0,0.0
greedy,0.05,0.66,0.66015625,0.9990234375,0.0009765625
greedy,0.05,0.68,0.6796875,0.9970703125,0.0029296875
greedy,0.05,0.7000000000000001,0.7001953125,0.998046875,0.001953125
greedy,0.05,0.72,0.7197265625,1.0,0.0
greedy,0.05,0.74,0.740234375,0.9921875,0.0078125
greedy,0.05,0.76,0.759765625,0.9912109375,0.0087890625
greedy,0.05,0.78,0.7802734375,0.9990234375,0.0009765625
greedy,0.05,0.8,0.7998046875,0.982421875,0.017578125
greedy,0.05,0.8200000000000001,0.8203125,0.9765625,0.0234375
greedy,0.05,0.84,0.83984375,0.9814453125,0.0185546875
greedy,0.05,0.86,0.8603515625,0.9736328125,0.0263671875
greedy,0.05,0.88,0.8798828125,0.919921875,0.080078125
greedy,0.05,0.9,0.900390625,0.8984375,0.1015625
greedy,0.05,0.92,0.919921875,0.884765625,0.115234375
greedy,0.05,0.9400000000000001,0.9404296875,0.8857421875,0.1142578125
greedy,0.05,0.96,0.9599609375,0.8427734375,0.1572265625
greedy,0.05,0.98,0.98046875,0.7080078125,0.2919921875
greedy,0.05,1.0,1.0,0.521484375,0.478515625
greedy,0.1,0.0,0.0,1.0,0.0
greedy,0.1,0.02,0.01953125,1.0,0.0
greedy,0.1,0.04,0.0400390625,1.0,0.0
greedy,0.1,0.06,0.0595703125,1.0,0.0
greedy,0.1,0.08,0.080078125,1.0,0.0
greedy,0.1,0.1,0.099609375,1.0,0.0
greedy,0.1,0.12,0.1201171875,1.0,0.0
greedy,0.1,0.14,0.1396484375,1.0,0.0
greedy,0.1,0.16,0.16015625,1.0,0.0
greedy,0.1,0.18,0.1796875,1.0,0.0
greedy,0.1,0.2,0.2001953125,1.0,0.0
greedy,0.1,0.22,0.2197265625,1.0,0.0
greedy,0.1,0.24,0.240234375,1.0,0.0
greedy,0.1,0.26,0.259765625,1.0,0.0
greedy,0.1,0.28,0.2802734375,1.0,0.0
greedy,0.1,0.3,0.2998046875,1.0,0.0
greedy,0.1,0.32,0.3203125,1.0,0.0
greedy,0.1,0.34,0.33984375,1.0,0.0
greedy,0.1,0.36,0.3603515625,1.0,0.0
greedy,0.1,0.38,0.3798828125,1.0,0.0
greedy,0.1,0.4,0.400390625,1.0,0.0
greedy,0.1,0.42,0.419921875,1.0,0.0
greedy,0.1,0.44,0.4404296875,1.0,0.0
greedy,0.1,0.46,0.4599609375,1.0,0.0
greedy,0.1,0.48,0.48046875,1.0,0.0
greedy,0.1,0.5,0.5,1.0,0.0
greedy,0.1,0.52,0.51953125,0.998046875,0.001953125
greedy,0.1,0.54,0.5400390625,0.998046875,0.001953125
greedy,0.1,0.56,0.5595703125,0.9990234375,0.0009765625
greedy,0.1,0.58,0.580078125,0.9990234375,0.0009765625
greedy,0.1,0.6,0.599609375,0.994140625,0.005859375
greedy,0.1,0.62,0.6201171875,0.99609375,0.00390625
greedy,0.1,0.64,0.6396484375,0.99609375,0.00390625
greedy,0.1,0.66,0.66015625,0.994140625,0.005859375
greedy,0.1,0.68,0.6796875,0.9931640625,0.0068359375
greedy,0.1,0.7000000000000001,0.7001953125,0.982421875,0.017578125
greedy,0.1,0.72,0.7197265625,0.978515625,0.021484375
greedy,0.1,0.74,0.740234375,0.9697265625,0.0302734375
greedy,0.1,0.76,0.759765625,0.9755859375,0.0244140625
greedy,0.1,0.78,0.7802734375,0.94921875,0.05078125
greedy,0.1,0.8,0.7998046875,0.927734375,0.072265625
greedy,0.1,0.8200000000000001,0.8203125,0.935546875,0.064453125
greedy,0.1,0.84,0.83984375,0.9482421875,0.0517578125
greedy,0.1,0.86,0.8603515625,0.9169921875,0.0830078125
greedy,0.1,0.88,0.8798828125,0.90234375,0.09765625
greedy,0.1,0.9,0.900390625,0.8662109375,0.1337890625
greedy,0.1,0.92,0.919921875,0.8291015625,0.1708984375
greedy,0.1,0.9400000000000001,0.9404296875,0.79296875,0.20703125
greedy,0.1,0.96,0.9599609375,0.71484375,0.28515625
greedy,0.1,0.98,0.98046875,0.7060546875,0.2939453125
greedy,0.1,1.0,1.0,0.5390625,0.4609375
greedy,0.2,0.0,0.0,1.0,0.0
greedy,0.2,0.02,0.01953125,1.0,0.0
greedy,0.2,0.04,0.0400390625,1.0,0.0
greedy,0.2,0.06,0.0595703125,1.0,0.0
greedy,0.2,0.08,0.080078125,1.0,0.0
greedy,0.2,0.1,0.099609375,1.0,0.0
greedy,0.2,0.12,0.1201171875,1.0,0.0
greedy,0.2,0.14,0.1396484375,1.0,0.0
greedy,0.2,0.16,0.16015625,1.0,0.0
greedy,0.2,0.18,0.1796875,1.0,0.0
greedy,0.2,0.2,0.2001953125,1.0,0.0
greedy,0.2,0.22,0.2197265625,1.0,0.0
greedy,0.2,0.24,0.240234375,1.0,0.0
greedy,0.2,0.26,0.259765625,1.0,0.0
greedy,0.2,0.28,0.2802734375,1.0,0.0
greedy,0.2,0.3,0.2998046875,0.9990234375,0.0009765625
greedy,0.2,0.32,0.3203125,1.0,0.0
greedy,0.2,0.34,0.33984375,1.0,0.0
greedy,0.2,0.36,0.3603515625,0.9970703125,0.0029296875
greedy,0.2,0.38,0.3798828125,0.9990234375,0.0009765625
greedy,0.2,0.4,0.400390625,0.998046875,0.001953125
greedy,0.2,0.42,0.419921875,0.99609375,0.00390625
greedy,0.2,0.44,0.4404296875,0.9970703125,0.0029296875
greedy,0.2,0.46,0.4599609375,0.9921875,0.0078125
greedy,0.2,0.48,0.48046875,0.9912109375,0.0087890625
greedy,0.2,0.5,0.5,0.9921875,0.0078125
greedy,0.2,0.52,0.51953125,0.990234375,0.009765625
greedy,0.2,0.54,0.5400390625,0.9814453125,0.0185546875
greedy,0.2,0.56,0.5595703125,0.984375,0.015625
greedy,0.2,0.58,0.580078125,0.96484375,0.03515625
greedy,0.2,0.6,0.599609375,0.9853515625,0.0146484375
greedy,0.2,0.62,0.6201171875,0.9677734375,0.0322265625
greedy,0.2,0.64,0.6396484375,0.9462890625,0.0537109375
greedy,0.2,0.66,0.66015625,0.947265625,0.052734375
greedy,0.2,0.68,0.6796875,0.951171875,0.048828125
greedy,0.2,0.7000000000000001,0.7001953125,0.93359375,0.06640625
greedy,0.2,0.72,0.7197265625,0.93359375,0.06640625
greedy,0.2,0.74,0.740234375,0.90625,0.09375
greedy,0.2,0.76,0.759765625,0.91015625,0.08984375
greedy,0.2,0.78,0.7802734375,0.861328125,0.138671875
greedy,0.2,0.8,0.7998046875,0.8857421875,0.1142578125
greedy,0.2,0.8200000000000001,0.8203125,0.869140625,0.130859375
greedy,0.2,0.84,0.83984375,0.833984375,0.166015625
