decoding,alpha,t0,frac_masked,frac_correct,frac_errors
greedy,0.05,0.0,0.0,1.0,0.0
greedy,0.05,0.02,0.01953125,1.0,0.0
greedy,0.05,0.04,0.0400390625,1.0,0.0
greedy,0.05,0.06,0.0595703125,1.0,0.0
greedy,0.05,0.08,0.080078125,1.0,0.0
greedy,0.05,0.1,0.099609375,1.0,0.0
greedy,0.05,0.12,0.1201171875,1.0,0.0
greedy,0.05,0.14,0.1396484375,1.0,0.0
greedy,0.05,0.16,0.16015625,1.0,0.0
greedy,0.05,0.18,0.1796875,1.0,0.0
greedy,0.05,0.2,0.2001953125,1.0,0.0
greedy,0.05,0.22,0.2197265625,1.0,0.0
greedy,0.05,0.24,0.240234375,1.0,0.0
greedy,0.05,0.26,0.259765625,1.0,0.0
greedy,0.05,0.28,0.2802734375,1.0,0.0
greedy,0.05,0.3,0.2998046875,1.0,0.0
greedy,0.05,0.32,0.3203125,1.0,0.0
greedy,0.05,0.34,0.33984375,1.0,0.0
greedy,0.05,0.36,0.3603515625,1.0,0.0
greedy,0.05,0.38,0.3798828125,1.0,0.0
greedy,0.05,0.4,0.400390625,1.0,0.0
greedy,0.05,0.42,0.419921875,1.0,0.0
greedy,0.05,0.44,0.4404296875,1.0,0.0
greedy,0.05,0.46,0.4599609375,1.0,0.0
greedy,0.05,0.48,0.48046875,1.0,0.0
greedy,0.05,0.5,0.5,1.0,0.0
greedy,0.05,0.52,0.51953125,0.9999902248382568,9.765624781721272e-06
greedy,0.05,0.54,0.5400390625,0.9999414086341858,5.859374869032763e-05
greedy,0.05,0.56,0.5595703125,0.999951183795929,4.882812572759576e-05
greedy,0.05,0.58,0.580078125,0.9999120831489563,8.789062849245965e-05
greedy,0.05,0.6,0.599609375,0.9999120831489563,8.789062849245965e-05
greedy,0.05,0.62,0.6201171875,0.999755859375,0.000244140625
greedy,0.05,0.64,0.6396484375,0.9996191263198853,0.0003808593610301614
greedy,0.05,0.66,0.66015625,0.9994335770606995,0.0005664062337018549
greedy,0.05,0.68,0.6796875,0.9988769292831421,0.0011230468517169356
greedy,0.05,0.7000000000000001,0.7001953125,0.9981445074081421,0.0018554687267169356
greedy,0.05,0.72,0.7197265625,0.9969238042831421,0.0030761719681322575
greedy,0.05,0.74,0.740234375,0.9952343702316284,0.004765625111758709
greedy,0.05,0.76,0.759765625,0.9945019483566284,0.005498046986758709
greedy,0.05,0.78,0.7802734375,0.9908202886581421,0.00917968712747097
greedy,0.05,0.8,0.7998046875,0.988476574420929,0.011523437686264515
greedy,0.05,0.8200000000000001,0.8203125,0.9807519316673279,0.01924804598093033
greedy,0.05,0.84,0.83984375,0.9730566143989563,0.026943359524011612
greedy,0.05,0.86,0.8603515625,0.9603808522224426,0.039619140326976776
greedy,0.05,0.88,0.8798828125,0.9497851729393005,0.05021484196186066
greedy,0.05,0.9,0.900390625,0.9260058403015137,0.07399413734674454
greedy,0.05,0.92,0.919921875,0.8919336199760437,0.10806640982627869
greedy,0.05,0.9400000000000001,0.9404296875,0.8529492020606995,0.14705078303813934
greedy,0.05,0.96,0.9599609375,0.7952831983566284,0.20471680164337158
greedy,0.05,0.98,0.98046875,0.6970800757408142,0.3029199242591858
greedy,0.05,1.0,1.0,0.5335546731948853,0.46644532680511475
greedy,0.1,0.0,0.0,1.0,0.0
greedy,0.1,0.02,0.01953125,1.0,0.0
greedy,0.1,0.04,0.0400390625,1.0,0.0
greedy,0.1,0.06,0.0595703125,1.0,0.0
greedy,0.1,0.08,0.080078125,1.0,0.0
greedy,0.1,0.1,0.099609375,1.0,0.0
greedy,0.1,0.12,0.1201171875,1.0,0.0
greedy,0.1,0.14,0.1396484375,1.0,0.0
greedy,0.1,0.16,0.16015625,1.0,0.0
greedy,0.1,0.18,0.1796875,1.0,0.0
greedy,0.1,0.2,0.2001953125,1.0,0.0
greedy,0.1,0.22,0.2197265625,1.0,0.0
greedy,0.1,0.24,0.240234375,1.0,0.0
greedy,0.1,0.26,0.259765625,1.0,0.0
greedy,0.1,0.28,0.2802734375,1.0,0.0
greedy,0.1,0.3,0.2998046875,1.0,0.0
greedy,0.1,0.32,0.3203125,1.0,0.0
greedy,0.1,0.34,0.33984375,0.9999902248382568,9.765624781721272e-06
greedy,0.1,0.36,0.3603515625,0.9999706745147705,2.9296874345163815e-05
greedy,0.1,0.38,0.3798828125,0.9999609589576721,3.9062499126885086e-05
greedy,0.1,0.4,0.400390625,0.9999609589576721,3.9062499126885086e-05
greedy,0.1,0.42,0.419921875,0.999804675579071,0.00019531250291038305
greedy,0.1,0.44,0.4404296875,0.9997754096984863,0.00022460937907453626
greedy,0.1,0.46,0.4599609375,0.9996484518051147,0.0003515625139698386
greedy,0.1,0.48,0.48046875,0.9993749856948853,0.0006249999860301614
greedy,0.1,0.5,0.5,0.999267578125,0.000732421875
greedy,0.1,0.52,0.51953125,0.9986816644668579,0.0013183593982830644
greedy,0.1,0.54,0.5400390625,0.998242199420929,0.0017578124534338713
greedy,0.1,0.56,0.5595703125,0.9977051019668579,0.0022949217818677425
greedy,0.1,0.58,0.580078125,0.9963281154632568,0.0036718749906867743
greedy,0.1,0.6,0.599609375,0.9951855540275574,0.004814452957361937
greedy,0.1,0.62,0.6201171875,0.9942675828933716,0.005732421763241291
greedy,0.1,0.64,0.6396484375,0.9915820360183716,0.008417968638241291
greedy,0.1,0.66,0.66015625,0.9900097846984863,0.009990233927965164
greedy,0.1,0.68,0.6796875,0.9871484637260437,0.012851562350988388
greedy,0.1,0.7000000000000001,0.7001953125,0.982177734375,0.017822265625
greedy,0.1,0.72,0.7197265625,0.9770898222923279,0.02291015535593033
greedy,0.1,0.74,0.740234375,0.9719921946525574,0.028007812798023224
greedy,0.1,0.76,0.759765625,0.9659960865974426,0.034003905951976776
greedy,0.1,0.78,0.7802734375,0.9554784893989563,0.04452148452401161
greedy,0.1,0.8,0.7998046875,0.94775390625,0.05224609375
greedy,0.1,0.8200000000000001,0.8203125,0.9378027319908142,0.06219726428389549
greedy,0.1,0.84,0.83984375,0.922607421875,0.077392578125
greedy,0.1,0.86,0.8603515625,0.9020312428474426,0.09796874970197678
greedy,0.1,0.88,0.8798828125,0.8800488114356995,0.11995117366313934
greedy,0.1,0.9,0.900390625,0.8525292873382568,0.14747069776058197
greedy,0.1,0.92,0.919921875,0.8266991972923279,0.17330078780651093
greedy,0.1,0.9400000000000001,0.9404296875,0.7840820550918579,0.21591797471046448
greedy,0.1,0.96,0.9599609375,0.7318066358566284,0.2681933641433716
greedy,0.1,0.98,0.98046875,0.655712902545929,0.34428709745407104
greedy,0.1,1.0,1.0,0.5207226276397705,0.4792773425579071
greedy,0.2,0.0,0.0,1.0,0.0
greedy,0.2,0.02,0.01953125,1.0,0.0
greedy,0.2,0.04,0.0400390625,1.0,0.0
greedy,0.2,0.06,0.0595703125,1.0,0.0
greedy,0.2,0.08,0.080078125,1.0,0.0
greedy,0.2,0.1,0.099609375,1.0,0.0
greedy,0.2,0.12,0.1201171875,1.0,0.0
greedy,0.2,0.14,0.1396484375,0.9999902248382568,9.765624781721272e-06
greedy,0.2,0.16,0.16015625,1.0,0.0
greedy,0.2,0.18,0.1796875,0.9999804496765137,1.9531249563442543e-05
greedy,0.2,0.2,0.2001953125,0.9999804496765137,1.9531249563442543e-05
greedy,0.2,0.22,0.2197265625,0.9999609589576721,3.9062499126885086e-05
greedy,0.2,0.24,0.240234375,0.9999609589576721,3.9062499126885086e-05
greedy,0.2,0.26,0.259765625,0.9997949004173279,0.0002050781185971573
greedy,0.2,0.28,0.2802734375,0.999707043170929,0.0002929687616415322
greedy,0.2,0.3,0.2998046875,0.99951171875,0.00048828125
greedy,0.2,0.32,0.3203125,0.9991503953933716,0.0008496093796566129
greedy,0.2,0.34,0.33984375,0.9987011551856995,0.0012988281669095159
greedy,0.2,0.36,0.3603515625,0.9985741972923279,0.001425781287252903
greedy,0.2,0.38,0.3798828125,0.9976367354393005,0.002363281324505806
greedy,0.2,0.4,0.400390625,0.997021496295929,0.0029785155784338713
greedy,0.2,0.42,0.419921875,0.9958593845367432,0.004140624776482582
greedy,0.2,0.44,0.4404296875,0.9940332174301147,0.0059667970053851604
greedy,0.2,0.46,0.4599609375,0.9931640625,0.0068359375
greedy,0.2,0.48,0.48046875,0.9911133050918579,0.00888671912252903
greedy,0.2,0.5,0.5,0.9889550805091858,0.011044922284781933
